conv_num,shape_num,shape_name,time
1,6,pentagon,12.933028
1,8,moon,16.663709
1,8,moon,20.375557
2,6,pentagon,20.499585
1,6,pentagon,25.82451
1,6,pentagon,29.817503
1,5,triangle,33.822628
1,5,triangle,37.699778
1,7,trapezoid,42.200718
3,8,moon,43.958492
1,4,star,46.632903
1,5,triangle,50.298177
4,8,moon,51.472354
1,5,triangle,53.375323
1,5,triangle,57.166008
1,6,pentagon,62.419583
1,6,pentagon,66.276474
1,5,triangle,74.744353
3,5,triangle,94.081908
3,5,triangle,97.455627
1,4,star,106.533288
1,4,star,109.899342
1,7,trapezoid,113.539623
1,3,heart,144.38446
2,7,trapezoid,145.852653
1,3,heart,146.67365
1,3,heart,155.650667
1,6,pentagon,159.387652
1,8,moon,160.760524
1,6,pentagon,162.462669
