global_release_order,tote_id,release_order_in_tote,shape,release_time
1,10,1,1,0.000000
2,10,2,5,1.000000
3,13,1,5,4.000000
4,13,2,1,5.000000
5,13,3,1,6.000000
6,13,4,3,7.000000
7,13,5,3,8.000000
8,14,1,2,11.000000
9,14,2,4,12.000000
10,4,1,3,15.000000
11,4,2,3,16.000000
12,4,3,3,17.000000
13,0,1,1,20.000000
14,0,2,1,21.000000
15,0,3,3,22.000000
16,0,4,3,23.000000
17,0,5,3,24.000000
18,7,1,5,27.000000
19,7,2,5,28.000000
20,8,1,4,31.000000
21,8,2,4,32.000000
22,8,3,2,33.000000
23,8,4,0,34.000000
24,8,5,0,35.000000
25,8,6,0,36.000000
26,11,1,1,39.000000
27,12,1,2,42.000000
28,1,1,6,45.000000
29,1,2,6,46.000000
30,1,3,6,47.000000
31,1,4,1,48.000000
32,1,5,1,49.000000
33,9,1,0,52.000000
34,9,2,0,53.000000
35,9,3,0,54.000000
36,3,1,5,57.000000
